"label","plate no.","exp_no","cell","treatment","day","day_lb","measurement","value"
"B9_Sample1.fcs",NA,1,"S3D21","RA",4,"d4","ctnt_pos",0.088
"B9_Sample1.fcs",NA,1,"S3D21","RA",4,"d4","tot_isl",22.966
"B9_Sample1.fcs",NA,1,"S3D21","RA",4,"d4","tot_ctnt",0.154
"C1_Sample9.fcs",NA,1,"S3T21","CTRL",3,"d3","dbl_neg",80.3
"C1_Sample9.fcs",NA,1,"S3T21","CTRL",3,"d3","isl_pos",19.3
"C1_Sample9.fcs",NA,1,"S3T21","CTRL",3,"d3","islctnt_pos",0.16
"C1_Sample9.fcs",NA,1,"S3T21","CTRL",3,"d3","ctnt_pos",0.23
"C1_Sample9.fcs",NA,1,"S3T21","CTRL",3,"d3","tot_isl",19.46
"C1_Sample9.fcs",NA,1,"S3T21","CTRL",3,"d3","tot_ctnt",0.39
"C10_Sample6.fcs",NA,1,"S3T21","RA",6,"d6","dbl_neg",43.8
"C10_Sample6.fcs",NA,1,"S3T21","RA",6,"d6","isl_pos",44.4
"C10_Sample6.fcs",NA,1,"S3T21","RA",6,"d6","islctnt_pos",10.3
"C10_Sample6.fcs",NA,1,"S3T21","RA",6,"d6","ctnt_pos",1.5
"C10_Sample6.fcs",NA,1,"S3T21","RA",6,"d6","tot_isl",54.7
"C10_Sample6.fcs",NA,1,"S3T21","RA",6,"d6","tot_ctnt",11.8
"C11_Sample7.fcs",NA,1,"S3T21","RA",8,"d8","dbl_neg",37.3
"C11_Sample7.fcs",NA,1,"S3T21","RA",8,"d8","isl_pos",1.76
"C11_Sample7.fcs",NA,1,"S3T21","RA",8,"d8","islctnt_pos",11.7
"C11_Sample7.fcs",NA,1,"S3T21","RA",8,"d8","ctnt_pos",49.2
"C11_Sample7.fcs",NA,1,"S3T21","RA",8,"d8","tot_isl",13.46
"C11_Sample7.fcs",NA,1,"S3T21","RA",8,"d8","tot_ctnt",60.9
"C12_Sample8.fcs",NA,1,"S3T21","RA",10,"d10","dbl_neg",29
"C12_Sample8.fcs",NA,1,"S3T21","RA",10,"d10","isl_pos",0.36
"C12_Sample8.fcs",NA,1,"S3T21","RA",10,"d10","islctnt_pos",1.35
"C12_Sample8.fcs",NA,1,"S3T21","RA",10,"d10","ctnt_pos",69.3
"C12_Sample8.fcs",NA,1,"S3T21","RA",10,"d10","tot_isl",1.71
"C12_Sample8.fcs",NA,1,"S3T21","RA",10,"d10","tot_ctnt",70.65
"C2_Sample10.fcs",NA,1,"S3T21","CTRL",4,"d4","dbl_neg",37.8
"C2_Sample10.fcs",NA,1,"S3T21","CTRL",4,"d4","isl_pos",61.8
"C2_Sample10.fcs",NA,1,"S3T21","CTRL",4,"d4","islctnt_pos",0.2
"C2_Sample10.fcs",NA,1,"S3T21","CTRL",4,"d4","ctnt_pos",0.24
"C2_Sample10.fcs",NA,1,"S3T21","CTRL",4,"d4","tot_isl",62
"C2_Sample10.fcs",NA,1,"S3T21","CTRL",4,"d4","tot_ctnt",0.44
"C3_Sample11.fcs",NA,1,"S3T21","CTRL",5,"d5","dbl_neg",15.3
