Day,Measurement,Treatment1,Treatment2,Cell1,Cell2,Comparison,Control_Shapiro_PValue,Treatment_Shapiro_PValue,Normality,Levene_PValue,Variance_equal
7,islctnt_pos,CTRL,NA,S3D21,S3T21,CTRL--S3T21vsS3D21,0.314686372,0.213294107,Normal,0.626802945,TRUE
8,islctnt_pos,CTRL,NA,S3D21,S3T21,CTRL--S3T21vsS3D21,0.777168837,0.961218374,Normal,0.617489485,TRUE
9,islctnt_pos,CTRL,NA,S3D21,S3T21,CTRL--S3T21vsS3D21,0.956671539,0.688460635,Normal,0.964386937,TRUE
3,tot_ctnt,CTRL,NA,S3D21,S3T21,CTRL--S3T21vsS3D21,0.973107685,0.89985028,Normal,0.558356002,TRUE
4,tot_ctnt,CTRL,NA,S3D21,S3T21,CTRL--S3T21vsS3D21,0.696001028,0.484923138,Normal,0.633645677,TRUE
5,tot_ctnt,CTRL,NA,S3D21,S3T21,CTRL--S3T21vsS3D21,0.239478954,0.108412716,Normal,0.530437003,TRUE
6,tot_ctnt,CTRL,NA,S3D21,S3T21,CTRL--S3T21vsS3D21,0.640383395,0.878932856,Normal,0.736336698,TRUE
7,tot_ctnt,CTRL,NA,S3D21,S3T21,CTRL--S3T21vsS3D21,0.586712869,0.901373638,Normal,0.394226008,TRUE
8,tot_ctnt,CTRL,NA,S3D21,S3T21,CTRL--S3T21vsS3D21,0.960624944,0.141705941,Normal,0.993428175,TRUE
9,tot_ctnt,CTRL,NA,S3D21,S3T21,CTRL--S3T21vsS3D21,0.313003848,0.450013528,Normal,0.960042208,TRUE
3,tot_isl,CTRL,NA,S3D21,S3T21,CTRL--S3T21vsS3D21,0.671881244,0.282850482,Normal,0.906819647,TRUE
4,tot_isl,CTRL,NA,S3D21,S3T21,CTRL--S3T21vsS3D21,0.352882067,0.520695445,Normal,0.572204088,TRUE
5,tot_isl,CTRL,NA,S3D21,S3T21,CTRL--S3T21vsS3D21,0.647921789,0.457448359,Normal,0.742458592,TRUE
6,tot_isl,CTRL,NA,S3D21,S3T21,CTRL--S3T21vsS3D21,0.395413733,0.453132853,Normal,0.807320589,TRUE
7,tot_isl,CTRL,NA,S3D21,S3T21,CTRL--S3T21vsS3D21,0.437915908,0.136052935,Normal,0.682989569,TRUE
8,tot_isl,CTRL,NA,S3D21,S3T21,CTRL--S3T21vsS3D21,0.740971812,0.955103656,Normal,0.22135042,TRUE
9,tot_isl,CTRL,NA,S3D21,S3T21,CTRL--S3T21vsS3D21,0.201774896,0.759236729,Normal,0.651958696,TRUE
4,ctnt_pos,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.419934414,0.540805967,Normal,0.726060655,TRUE
4,ctnt_pos,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.104358331,0.252969649,Normal,0.422732965,TRUE
6,ctnt_pos,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.084371306,0.440554746,Normal,0.503342407,TRUE
6,ctnt_pos,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.120775408,0.633621327,Normal,0.591409625,TRUE
8,ctnt_pos,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.348008569,0.06592224,Normal,0.450450368,TRUE
8,ctnt_pos,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.269089291,0.765782432,Normal,0.63846381,TRUE
10,ctnt_pos,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.196332099,0.821555678,Normal,0.904822557,TRUE
4,dbl_neg,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.355854521,0.633665842,Normal,0.451228872,TRUE
4,dbl_neg,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.527047772,0.589231416,Normal,0.30434333,TRUE
6,dbl_neg,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.369637732,0.209032726,Normal,0.503569952,TRUE
6,dbl_neg,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.609699859,0.141109054,Normal,0.259885828,TRUE
8,dbl_neg,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.056051247,0.82637603,Normal,0.193666113,TRUE
8,dbl_neg,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.076888048,0.205946357,Normal,0.481116516,TRUE
10,dbl_neg,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.244230018,0.144808415,Normal,0.979108487,TRUE
4,isl_pos,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.349907883,0.631111545,Normal,0.454790929,TRUE
4,isl_pos,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.51914202,0.589231416,Normal,0.308428779,TRUE
6,isl_pos,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.207555293,0.193917521,Normal,0.885512991,TRUE
6,isl_pos,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.797091266,0.648062303,Normal,0.357957609,TRUE
8,isl_pos,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.409196014,0.772034329,Normal,0.759789604,TRUE
8,isl_pos,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.240763271,0.488866737,Normal,0.572149915,TRUE
10,isl_pos,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.320584425,0.63158392,Normal,0.830633598,TRUE
10,isl_pos,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.130033869,0.107462816,Normal,0.422997864,TRUE
4,islctnt_pos,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,1,0.931113776,Normal,0.577578867,TRUE
4,islctnt_pos,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.884936366,0.119409465,Normal,0.309569947,TRUE
6,islctnt_pos,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.701862308,0.69477674,Normal,0.168522535,TRUE
6,islctnt_pos,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.754053617,0.636886845,Normal,0.184495004,TRUE
8,islctnt_pos,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.777168837,0.574719868,Normal,0.886764125,TRUE
8,islctnt_pos,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.961218374,0.813352715,Normal,0.460299408,TRUE
10,islctnt_pos,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.051490665,0.928406195,Normal,0.624449513,TRUE
4,tot_ctnt,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.696001028,0.94622603,Normal,0.366789895,TRUE
4,tot_ctnt,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.484923138,0.419934414,Normal,0.243221954,TRUE
6,tot_ctnt,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.640383395,0.27377369,Normal,0.172387159,TRUE
6,tot_ctnt,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.878932856,0.634873472,Normal,0.268961007,TRUE
8,tot_ctnt,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.960624944,0.608404854,Normal,0.446343697,TRUE
8,tot_ctnt,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.141705941,0.193917521,Normal,0.74220999,TRUE
4,tot_isl,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.352882067,0.635344007,Normal,0.453065941,TRUE
4,tot_isl,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.520695445,0.586301239,Normal,0.308191718,TRUE
6,tot_isl,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.395413733,0.2440956,Normal,0.525436794,TRUE
6,tot_isl,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.453132853,0.463262875,Normal,0.387442241,TRUE
8,tot_isl,CTRL,RA,S3D21,NA,S3D21--RAvsCTRL,0.740971812,0.800939289,Normal,0.423173507,TRUE
8,tot_isl,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.955103656,0.985834947,Normal,0.612338347,TRUE
10,tot_isl,CTRL,RA,S3T21,NA,S3T21--RAvsCTRL,0.731079072,0.161304682,Normal,0.562442796,TRUE
4,ctnt_pos,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.540805967,0.252969649,Normal,0.514361849,TRUE
6,ctnt_pos,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.440554746,0.633621327,Normal,0.223763297,TRUE
8,ctnt_pos,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.06592224,0.765782432,Normal,0.760285541,TRUE
10,ctnt_pos,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.164358011,0.821555678,Normal,0.762082509,TRUE
4,dbl_neg,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.633665842,0.589231416,Normal,0.339611402,TRUE
