"cell","day","treatment","mean","sd","measurement"
"S3D21",10,"CTRL",26.9666666666667,0.0577350269189634,"ctnt_pos"
"S3D21",9,"CTRL",22.0666666666667,3.87857362097632,"ctnt_pos"
"S3D21",8,"CTRL",21.1666666666667,1.37961347243832,"ctnt_pos"
"S3T21",10,"CTRL",19.6666666666667,9.25760948265444,"ctnt_pos"
"S3T21",9,"CTRL",16.6666666666667,5.24436205208349,"ctnt_pos"
"S3T21",8,"CTRL",15.39,6.05287534978212,"ctnt_pos"
"S3D21",8,"RA",13.17,7.2442874045692,"ctnt_pos"
"S3T21",7,"CTRL",5.25333333333333,2.0557318242741,"ctnt_pos"
"S3D21",7,"CTRL",5.13,1.14372199419264,"ctnt_pos"
"S3T21",6,"RA",3.42666666666667,2.21055045935019,"ctnt_pos"
"S3T21",6,"CTRL",2.26,1.34502788075192,"ctnt_pos"
"S3D21",6,"CTRL",2.10666666666667,1.24540488730908,"ctnt_pos"
"S3D21",6,"RA",1.18666666666667,0.349904748943671,"ctnt_pos"
"S3D21",5,"CTRL",0.163333333333333,0.125830573921179,"ctnt_pos"
"S3D21",3,"CTRL",0.125333333333333,0.0880075754315123,"ctnt_pos"
"S3T21",3,"CTRL",0.125,0.09836157786453,"ctnt_pos"
"S3T21",4,"CTRL",0.113333333333333,0.109860517627277,"ctnt_pos"
"S3T21",5,"CTRL",0.105333333333333,0.0571430952375992,"ctnt_pos"
"S3T21",4,"RA",0.0673333333333333,0.0189296944860009,"ctnt_pos"
"S3D21",4,"CTRL",0.058,0.0550181788139157,"ctnt_pos"
"S3D21",4,"RA",0.0566666666666667,0.0375810235801705,"ctnt_pos"
"S3T21",5,"CTRL",70.1923333333333,12.799502972121,"tot_isl"
"S3D21",5,"CTRL",70.15,17.008186264267,"tot_isl"
"S3T21",6,"CTRL",63.2933333333333,16.2100010281719,"tot_isl"
"S3T21",7,"CTRL",63.2,7.7272245987806,"tot_isl"
"S3D21",7,"CTRL",61.1,4.17971290880127,"tot_isl"
"S3D21",4,"CTRL",60.2833333333333,31.5699355927967,"tot_isl"
"S3D21",6,"CTRL",57.6933333333333,21.161477579161,"tot_isl"
"S3T21",4,"CTRL",49.0353333333333,15.7091089923437,"tot_isl"
"S3T21",6,"RA",48.8666666666667,5.20416499866533,"tot_isl"
"S3T21",8,"CTRL",48.1,11.0530538766442,"tot_isl"
"S3D21",9,"CTRL",41.9666666666667,5.68975687822716,"tot_isl"
"S3T21",9,"CTRL",41.8,8.26559132790873,"tot_isl"
"S3D21",8,"CTRL",40.1666666666667,2.77548794508882,"tot_isl"
"S3T21",10,"CTRL",36.3666666666667,8.43346508460984,"tot_isl"
"S3D21",6,"RA",32.9733333333333,9.84618877197331,"tot_isl"
"S3T21",4,"RA",28.8456666666667,3.81054803582547,"tot_isl"
"S3D21",8,"RA",24.5133333333333,5.77131989525215,"tot_isl"
"S3D21",10,"CTRL",21.3233333333333,17.3798456072928,"tot_isl"
"S3T21",8,"RA",20.8866666666667,7.39520340040308,"tot_isl"
"S3D21",4,"RA",20.5053333333333,11.2290598597271,"tot_isl"
"S3D21",3,"CTRL",14.17,8.56103381607619,"tot_isl"
"S3T21",3,"CTRL",10.2536666666667,8.06116246786612,"tot_isl"
"S3D21",10,"RA",9.87666666666667,8.81636168344592,"tot_isl"
"S3T21",10,"RA",4.18333333333333,5.0380187904903,"tot_isl"
"S3T21",10,"RA",62.6066666666667,6.96581892768778,"tot_ctnt"
"S3T21",8,"RA",56.3666666666667,3.946306289853,"tot_ctnt"
